id_meta,n,d,area,type_synthesis
adesope_2010,63,0.2,c,ma
adesope_2010,31,-0.23,c,ma
adesope_2010,81,1.04,c,ma
adesope_2010,87,1.32,c,ma
adesope_2010,81,0.07,c,ma
adesope_2010,87,-0.26,c,ma
adesope_2010,97,0.51,c,ma
adesope_2010,30,0.82,c,ma
adesope_2010,30,0.69,c,ma
adesope_2010,29,0.63,c,ma
adesope_2010,48,0.48,c,ma
adesope_2010,48,-0.3,c,ma
adesope_2010,20,2.25,c,ma
adesope_2010,20,1.03,c,ma
adesope_2010,64,2.63,c,ma
adesope_2010,30,1.35,c,ma
adesope_2010,20,2.45,c,ma
adesope_2010,132,0.95,c,ma
adesope_2010,71,0.35,c,ma
adesope_2010,72,-0.02,c,ma
adesope_2010,75,-0.45,c,ma
adesope_2010,64,-0.92,c,ma
adesope_2010,58,0.51,c,ma
adesope_2010,67,0.35,c,ma
adesope_2010,30,0.83,c,ma
adesope_2010,53,0.63,c,ma
adesope_2010,53,0.42,c,ma
adesope_2010,67,-0.04,c,ma
adesope_2010,67,-0.3,c,ma
adesope_2010,95,1.59,c,ma
adesope_2010,48,1.14,c,ma
adesope_2010,53,0.18,c,ma
adesope_2010,137,-0.44,c,ma
adesope_2010,30,0.64,c,ma
adesope_2010,125,0.2,c,ma
adesope_2010,150,-0.3,c,ma
adesope_2010,94,0.36,c,ma
adesope_2010,89,0.49,c,ma
adesope_2010,106,0.06,c,ma
adesope_2010,96,0.4,c,ma
adesope_2010,54,0.71,c,ma
adesope_2010,40,0.18,c,ma
adesope_2010,40,1.22,c,ma
adesope_2010,20,0.34,c,ma
adesope_2010,1026,0.23,c,ma
adesope_2010,43,0.56,c,ma
adesope_2010,76,0.96,c,ma
adesope_2010,64,0.39,c,ma
adesope_2010,64,0.09,c,ma
adesope_2010,44,-0.09,c,ma
adesope_2010,120,1.52,c,ma
adesope_2010,160,0.66,c,ma
adesope_2010,60,0.56,c,ma
adesope_2010,32,0.96,c,ma
adesope_2010,36,-0.34,c,ma
adesope_2010,71,0.2,c,ma
adesope_2010,78,0.48,c,ma
adesope_2010,288,1.07,c,ma
adesope_2010,296,0.49,c,ma
adesope_2010,137,0.16,c,ma
adesope_2010,350,0.39,c,ma
adesope_2010,201,0.68,c,ma
adesope_2010,24,0.22,c,ma
allen_1999,104,0.18478366623703218,c,ma
allen_1999,34,0.7570205457213351,c,ma
allen_1999,293,0.1322884386719538,c,ma
allen_1999,106,0.16657475834338495,c,ma
allen_1999,202,0.39975366381099203,c,ma
allen_1999,328,0.44459396106734783,c,ma
allen_1999,285,0.6358929751468364,c,ma
allen_1999,148,0.010000125002343799,c,ma
allen_1999,136,0.1443747054859272,c,ma
allen_1999,11,0.8522061331661072,c,ma
allen_1999,103,0.2111672859123818,c,ma
allen_1999,11,1.8099490176760769,c,ma
allen_1999,213,0.42316536287721124,c,ma
allen_1999,87,0.3429327268515208,c,ma
allen_1999,123,0.23766039173172382,c,ma
allen_1999,164,0.3492042079303926,c,ma
allen_1999,309,0.33250196394442466,c,ma
alvarez_2006,73,-0.04,c,ma
alvarez_2006,22,-2.21,c,ma
alvarez_2006,36,-0.81,c,ma
alvarez_2006,35,0.49,c,ma
alvarez_2006,53,-0.98,c,ma
alvarez_2006,53,-0.92,c,ma
alvarez_2006,34,-0.81,c,ma
alvarez_2006,40,-0.11,c,ma
alvarez_2006,40,-0.66,c,ma
alvarez_2006,85,-0.52,c,ma
alvarez_2006,20,-1.38,c,ma
alvarez_2006,20,-2.31,c,ma
alvarez_2006,193,-1.56,c,ma
alvarez_2006,78,-0.62,c,ma
alvarez_2006,415,-1.45,c,ma
alvarez_2006,113,-0.55,c,ma
alvarez_2006,18,-1.13,c,ma
alvarez_2006,32,-0.75,c,ma
alvarez_2006,60,-0.69,c,ma
alvarez_2006,71,-0.84,c,ma
alvarez_2006,23,-1.71,c,ma
alvarez_2006,146,-0.44,c,ma
alvarez_2006,46,-0.59,c,ma
alvarez_2006,63,-0.5,c,ma
alvarez_2006,51,-0.56,c,ma
alvarez_2006,90,-0.73,c,ma
